Timestamp,Temp,Hum,Gas
2026-03-05 08:52:16,26.1036,86.9373,178.6239
2026-03-05 08:57:21,27.1061,85.1673,180
2026-03-05 09:02:24,26.8958,76.8091,156.1514
2026-03-05 09:07:28,26.8696,79.267,168.2262
2026-03-05 09:12:33,27.0597,81.5937,162.6702
2026-03-05 09:17:38,26.9485,79.4596,176.2636
2026-03-05 09:22:40,26.882,79.9054,175.0378
2026-03-05 09:27:46,27.4287,82.4236,175.6179
2026-03-05 09:32:49,27.4806,79.327,179.8335
2026-03-05 09:37:55,27.3099,78.98,145.676
2026-03-05 09:42:59,27.8913,81.4369,162.1725
2026-03-05 09:48:03,27.0168,75.5918,157.828
2026-03-05 09:53:06,28.0999,73.0489,180
2026-03-05 09:58:10,28.5541,76.1862,168.8579
2026-03-05 10:03:15,29.3022,76.3066,171.3042
2026-03-05 10:08:19,28.2774,77.7242,156.1108
2026-03-05 10:13:23,26.9936,76.3243,156.4909
2026-03-05 10:18:27,28.4015,73.1808,150.1222
2026-03-05 10:23:32,27.3051,76.5018,179.8356
2026-03-05 10:28:36,27.1814,76.6479,153.7735
2026-03-05 10:33:40,28.2484,76.1112,161.6603
2026-03-05 10:38:45,29.2428,75.572,162.3323
2026-03-05 10:43:49,28.369,75.3113,169.6751
2026-03-05 10:48:52,27.8276,74.2888,166.5871
2026-03-05 10:53:58,28.1768,76.3848,152.8275
2026-03-05 10:59:01,27.0776,70.8078,157.4163
2026-03-05 11:04:05,29.8322,79.547,177.0243
2026-03-05 11:09:11,29.2255,70.7049,180
2026-03-05 11:14:14,27.9217,72.1719,177.4013
2026-03-05 11:19:17,28.1296,74.1485,159.8201
2026-03-05 11:24:23,28.1142,76.1075,180
2026-03-05 11:29:26,28.4965,77.6971,177.1297
2026-03-05 11:34:31,29.5298,78.7524,170.9428
2026-03-05 11:39:34,28.6417,76.2113,180
2026-03-05 11:44:40,28.7392,75.7088,163.4529
2026-03-05 11:49:43,28.5162,71.3934,180
2026-03-05 11:54:49,26.6371,72.209,173.9335
2026-03-05 11:59:51,28.3487,75.4992,162.0485
2026-03-05 12:04:57,28.8493,74.2897,180
2026-03-05 12:10:00,27.5253,76.1304,171.1822
2026-03-05 12:15:05,29.0292,76.9541,172.3421
2026-03-05 12:20:08,27.9607,77.5144,170.1421
2026-03-05 12:25:13,27.1642,74.4357,180
2026-03-05 12:30:17,28.7182,77.4291,180
2026-03-05 12:35:22,27.2633,72.6781,152.5359
2026-03-05 12:40:25,28.5315,76.2753,153.3222
2026-03-05 12:45:29,27.8955,77.9448,178.1721
2026-03-05 12:50:35,28.4638,77.7268,177.4091
2026-03-05 12:55:38,28.7898,77.3072,159.2134
2026-03-05 13:00:43,28.7483,75.1946,150.23
2026-03-05 13:05:46,27.074,75.1157,180
2026-03-05 13:10:50,31.0877,78.4815,154.722
2026-03-05 13:15:55,28.6736,79.2044,164.1145
2026-03-05 13:20:59,29.0563,74.7018,162.3074
2026-03-05 13:26:03,27.6516,76.9942,144.9789
2026-03-05 13:31:07,28.4371,76.5723,174.0483
2026-03-05 13:36:12,29.3001,73.4192,157.4728
2026-03-05 13:41:16,28.4135,73.9824,155.1434
2026-03-05 13:46:20,29.517,72.3673,152.2958
2026-03-05 13:51:23,29.8767,73.0065,165.4776
2026-03-05 13:56:29,29.8017,74.459,150.2281
2026-03-05 14:01:32,26.742,73.672,174.8297
2026-03-05 14:06:37,27.7157,75.845,160.8568
2026-03-05 14:11:40,28.3436,73.4666,153.3996
2026-03-05 14:16:45,29.2359,76.0147,169.1454
2026-03-05 14:21:49,29.0182,70.6466,156.877
2026-03-05 14:26:53,27.4197,71.8678,178.1807
2026-03-05 14:31:59,28.4577,75.9621,163.7357
2026-03-05 14:37:01,29.4466,73.8539,180
2026-03-05 14:42:05,31.0722,77.2143,167.307
2026-03-05 14:47:10,28.3473,73.5441,165.733
2026-03-05 14:52:15,28.6743,76.7765,168.6626
2026-03-05 14:57:19,29.6975,69.2542,170.7101
2026-03-05 15:02:23,27.7758,68.2058,179.2251
2026-03-05 15:07:28,29.0044,76.6882,173.8265
2026-03-05 15:12:32,29.1966,71.7539,159.6182
2026-03-05 15:17:35,28.671,75.8128,176.9455
2026-03-05 15:22:40,29.5456,73.743,172.129
2026-03-05 15:27:43,29.7544,71.3014,179.9665
2026-03-05 15:32:49,28.3506,74.7889,166.2226
2026-03-05 15:37:52,29.0703,73.1414,170.0109
2026-03-05 15:42:56,28.7763,78.0796,143.2484
2026-03-05 15:48:01,29.6908,69.073,165.1943
2026-03-05 15:53:04,30.309,75.1686,180
2026-03-05 15:58:09,29.8886,72.4165,180
2026-03-05 16:03:13,28.2183,77.6915,155.2643
2026-03-05 16:08:17,28.0396,70.9616,163.4687
2026-03-05 16:13:22,30.5284,76.1443,157.9
2026-03-05 16:18:27,28.3609,68.6133,146.0791
2026-03-05 16:23:30,28.5727,75.2484,154.2804
2026-03-05 16:28:35,29.91,72.8905,160.7256
2026-03-05 16:33:38,28.6492,70.1558,156.8389
2026-03-05 16:38:43,28.9259,72.0177,177.2552
2026-03-05 16:43:46,27.714,77.3053,148.7842
2026-03-05 16:48:51,30.5323,75.6479,149.8255
2026-03-05 16:53:55,30.2552,74.9195,167.6568
2026-03-05 16:59:00,29.4672,73.3051,155.5696
2026-03-05 17:04:04,28.9245,73.9189,161.4144
2026-03-05 17:09:08,28.4444,71.5224,180
2026-03-05 17:14:12,28.0742,72.5916,166.0951
2026-03-05 17:19:16,27.6068,76.2473,167.7633
2026-03-05 17:24:20,27.8397,80.0467,163.4815
2026-03-05 17:29:24,29.4518,72.5012,180
2026-03-05 17:34:29,29.1409,69.4693,148.0814
2026-03-05 17:39:34,28.6012,79.6785,164.8574
2026-03-05 17:44:37,29.6842,77.1221,158.3963
2026-03-05 17:49:41,26.5144,73.5366,149.0087
2026-03-05 17:54:47,27.85,72.9421,145.8332
2026-03-05 17:59:50,27.839,78.924,161.8546
2026-03-05 18:04:54,27.8275,78.7358,161.0426
2026-03-05 18:09:59,29.1843,77.9282,162.9635
2026-03-05 18:15:02,27.7185,78.1833,150.8005
2026-03-05 18:20:07,28.0931,76.4194,159.0791
2026-03-05 18:25:11,28.3954,76.4713,160.5798
2026-03-05 18:30:15,28.3263,73.6953,170.75
2026-03-05 18:35:21,28.2964,72.5813,167.0132
2026-03-05 18:40:23,30.3896,82.3255,159.0172
2026-03-05 18:45:27,27.2504,76.3406,148.626
2026-03-05 18:50:32,27.7864,77.0988,167.5088
2026-03-05 18:55:36,27.2698,76.9018,159.3485
2026-03-05 19:00:41,27.5806,83.0741,177.7359
2026-03-05 19:05:45,27.6556,78.8451,180
2026-03-05 19:10:49,27.977,77.796,167.4093
2026-03-05 19:15:52,26.9766,76.1565,175.592
2026-03-05 19:20:58,27.4792,79.0241,168.5107
2026-03-05 19:26:01,28.2218,80.0714,152.012
2026-03-05 19:31:05,26.8683,77.4872,163.5996
2026-03-05 19:36:10,27.2967,77.5858,180
2026-03-05 19:41:14,27.0065,77.0796,174.6194
