Timestamp,Temp,Hum,Gas
2026-03-06 09:34:57,28.71,82.88,113.18
2026-03-06 09:39:59,28.80,81.85,138.56
2026-03-06 09:45:07,29.27,81.30,138.27
2026-03-06 09:50:15,28.44,79.92,121.01
2026-03-06 09:55:18,29.05,81.52,137.78
2026-03-06 10:00:24,29.11,76.23,136.80
2026-03-06 10:05:36,29.17,76.17,131.06
2026-03-06 10:10:36,29.17,76.35,125.32
2026-03-06 10:15:46,29.44,79.26,134.82
2026-03-06 10:20:59,29.39,78.04,138.06
2026-03-06 10:25:56,29.12,79.46,129.07
2026-03-06 10:30:54,29.49,78.03,119.46
2026-03-06 10:35:54,29.24,77.46,136.19
2026-03-06 10:41:00,29.41,78.30,135.07
2026-03-06 10:46:08,29.42,77.34,126.99
2026-03-06 10:51:12,29.34,78.29,144.00
2026-03-06 10:56:09,29.47,78.99,138.48
2026-03-06 11:01:15,29.90,78.57,133.24
2026-03-06 11:06:15,29.87,76.32,137.83
2026-03-06 11:11:27,29.83,78.71,141.59
2026-03-06 11:16:22,29.95,77.33,132.27
2026-03-06 11:21:25,29.62,77.77,120.56
2026-03-06 11:26:31,30.02,77.50,131.71
2026-03-06 11:31:30,29.05,77.41,133.44
2026-03-06 11:36:35,29.46,76.64,134.82
2026-03-06 11:41:40,29.54,78.14,129.04
2026-03-06 11:46:53,29.72,78.87,134.74
2026-03-06 11:51:57,29.77,77.80,135.09
2026-03-06 11:56:57,29.67,76.76,136.24
2026-03-06 12:01:51,29.90,76.27,140.93
2026-03-06 12:06:45,29.60,72.73,133.39
2026-03-06 12:11:58,29.87,74.19,139.65
2026-03-06 12:17:04,30.04,74.78,146.01
2026-03-06 12:22:06,29.62,74.54,129.81
2026-03-06 12:27:02,30.32,71.76,117.11
2026-03-06 12:32:02,30.04,75.76,140.62
2026-03-06 12:37:01,29.77,76.22,124.59
2026-03-06 12:42:02,30.29,73.09,131.62
2026-03-06 12:47:04,30.13,72.65,146.19
2026-03-06 12:52:02,29.88,74.58,143.74
2026-03-06 12:56:56,29.77,75.68,147.56
2026-03-06 13:02:08,29.88,74.97,114.45
2026-03-06 13:07:11,30.14,71.85,136.08
2026-03-06 13:12:16,30.26,75.82,139.91
2026-03-06 13:17:24,30.00,72.03,133.06
2026-03-06 13:22:26,30.02,75.19,111.21
2026-03-06 13:27:39,30.59,73.96,122.03
2026-03-06 13:32:49,30.22,74.88,129.45
2026-03-06 13:37:59,29.60,72.97,136.85
2026-03-06 13:43:12,30.16,73.14,139.00
2026-03-06 13:48:17,30.22,74.30,125.25
2026-03-06 13:53:17,29.91,71.28,126.46
2026-03-06 13:58:12,30.27,73.08,132.10
2026-03-06 14:03:08,30.49,71.35,132.30
2026-03-06 14:08:18,29.87,70.52,142.35
2026-03-06 14:13:16,30.23,73.18,122.75
2026-03-06 14:18:26,30.27,70.44,133.27
2026-03-06 14:23:36,30.43,71.63,136.87
2026-03-06 14:28:46,30.20,70.67,114.47
2026-03-06 14:33:41,30.37,71.11,128.00
2026-03-06 14:38:36,30.16,70.86,126.65
2026-03-06 14:43:34,30.08,71.19,132.41
2026-03-06 14:48:28,30.01,70.42,126.90
2026-03-06 14:53:22,30.21,70.75,133.82
2026-03-06 14:58:34,29.79,69.13,130.09
2026-03-06 15:03:29,30.05,71.52,140.96
2026-03-06 15:08:34,30.26,69.17,140.03
2026-03-06 15:13:33,30.25,68.67,120.41
2026-03-06 15:18:30,30.58,72.08,111.46
2026-03-06 15:23:34,29.87,71.83,131.45
2026-03-06 15:28:44,30.38,70.38,136.83
2026-03-06 15:33:43,30.21,69.93,140.07
2026-03-06 15:38:41,30.26,71.24,132.86
2026-03-06 15:43:54,30.08,72.39,134.44
2026-03-06 15:48:49,30.12,71.99,121.03
2026-03-06 15:53:48,30.76,70.24,121.45
2026-03-06 15:58:52,30.68,69.90,133.54
2026-03-06 16:04:01,30.24,74.87,125.92
2026-03-06 16:09:10,29.90,73.71,120.17
2026-03-06 16:14:04,30.12,75.40,129.57
2026-03-06 16:19:06,30.11,74.34,130.00
2026-03-06 16:24:05,29.79,73.50,144.02
2026-03-06 16:29:14,30.36,72.85,118.70
2026-03-06 16:34:10,29.90,74.49,136.38
2026-03-06 16:39:23,30.20,73.64,119.97
2026-03-06 16:44:20,30.14,72.47,108.04
2026-03-06 16:49:32,30.47,72.24,120.92
2026-03-06 16:54:28,30.22,75.17,125.58
2026-03-06 16:59:40,29.76,73.09,118.09
2026-03-06 17:04:53,29.82,77.07,109.80
2026-03-06 17:09:53,29.72,75.01,120.05
2026-03-06 17:15:06,29.97,73.89,119.70
2026-03-06 17:20:08,30.04,77.39,129.49
2026-03-06 17:25:02,29.52,74.74,138.16
2026-03-06 17:30:03,29.85,75.47,132.60
2026-03-06 17:35:03,29.82,77.44,124.11
2026-03-06 17:40:14,29.61,73.93,125.78
2026-03-06 17:45:15,29.55,75.85,130.27
2026-03-06 17:50:09,29.56,76.29,142.23
2026-03-06 17:55:13,29.91,72.53,146.00
2026-03-06 18:00:24,29.68,79.86,146.33
2026-03-06 18:05:27,29.82,77.75,135.51
2026-03-06 18:10:23,29.59,76.66,141.08
2026-03-06 18:15:23,28.84,77.56,148.37
2026-03-06 18:20:32,29.52,79.58,135.50
2026-03-06 18:25:41,29.75,76.45,145.30
2026-03-06 18:30:54,29.55,77.24,117.02
2026-03-06 18:36:04,29.43,77.76,144.24
2026-03-06 18:40:59,29.89,79.95,147.58
2026-03-06 18:45:53,29.35,77.14,143.52
2026-03-06 18:51:02,29.63,79.46,157.44
2026-03-06 18:56:07,30.06,79.30,141.83
2026-03-06 19:01:05,29.66,81.15,137.61
2026-03-06 19:06:03,29.19,78.23,131.77
2026-03-06 19:11:05,28.97,79.45,130.79
2026-03-06 19:16:07,29.12,80.00,140.24
2026-03-06 19:21:03,29.43,80.79,145.70
2026-03-06 19:26:15,29.70,79.25,151.68
2026-03-06 19:31:24,29.41,79.36,150.48
2026-03-06 19:36:33,29.10,81.58,136.53
