Timestamp,Temp,Hum,Gas,,
2026-03-06 09:11:42,29.53,67.05,174.91,,
2026-03-06 09:16:53,29.79,68.80,183.24,,
2026-03-06 09:21:51,29.96,68.33,176.40,,
2026-03-06 09:26:56,29.47,68.10,177.04,,
2026-03-06 09:32:07,29.35,69.99,174.06,,
2026-03-06 09:37:12,29.79,68.39,167.27,,
2026-03-06 09:42:09,29.62,64.68,169.12,,
2026-03-06 09:47:06,29.67,69.04,166.47,,
2026-03-06 09:52:03,29.71,69.42,166.27,,
2026-03-06 09:57:07,29.61,65.98,189.04,,
2026-03-06 10:02:14,30.17,68.09,181.37,,
2026-03-06 10:07:22,29.72,68.82,196.95,,
2026-03-06 10:12:29,29.71,64.61,188.51,,
2026-03-06 10:17:34,29.52,69.62,158.88,,
2026-03-06 10:22:30,29.85,67.49,173.51,,
2026-03-06 10:27:38,29.54,67.68,161.28,,
2026-03-06 10:32:38,29.59,66.12,180.89,,
2026-03-06 10:37:35,29.07,65.50,181.13,,
2026-03-06 10:42:34,29.67,65.17,170.47,,
2026-03-06 10:47:30,29.47,69.31,168.77,,
2026-03-06 10:52:41,29.65,67.84,180.84,,
2026-03-06 10:57:45,29.50,67.08,173.48,,
2026-03-06 11:02:50,29.79,66.74,174.73,,
2026-03-06 11:08:00,29.29,65.85,182.91,,
2026-03-06 11:13:03,29.87,66.87,188.19,,
2026-03-06 11:17:59,29.08,64.79,180.88,,
2026-03-06 11:23:08,30.00,65.76,177.51,,
2026-03-06 11:28:19,29.36,66.56,171.28,,
2026-03-06 11:33:22,29.70,65.70,166.49,,
2026-03-06 11:38:32,29.49,65.98,195.91,,
2026-03-06 11:43:28,30.00,66.56,186.69,,
2026-03-06 11:48:32,30.06,65.46,181.96,,
2026-03-06 11:53:43,29.44,67.46,189.33,,
2026-03-06 11:58:40,29.44,67.61,171.20,,
2026-03-06 12:03:46,29.89,66.14,172.45,,
2026-03-06 12:08:55,29.70,63.83,187.77,,
2026-03-06 12:13:59,29.69,65.82,176.62,,
2026-03-06 12:19:10,29.93,66.76,195.36,,
2026-03-06 12:24:07,29.68,63.09,182.36,,
2026-03-06 12:29:17,29.80,64.95,173.27,,
2026-03-06 12:34:25,30.10,62.78,186.48,,
2026-03-06 12:39:33,29.69,63.96,182.57,,
2026-03-06 12:44:29,29.79,64.58,183.85,,
2026-03-06 12:49:29,29.47,65.67,193.74,,
2026-03-06 12:54:31,29.48,62.84,196.60,,
2026-03-06 12:59:33,29.71,66.91,186.98,,
2026-03-06 13:04:31,29.96,64.55,171.10,,
2026-03-06 13:09:39,29.93,64.64,188.28,,
2026-03-06 13:14:49,30.08,64.10,178.25,,
2026-03-06 13:20:00,29.82,66.17,163.57,,
2026-03-06 13:25:05,29.69,64.57,180.74,,
2026-03-06 13:30:14,30.44,64.94,174.18,,
2026-03-06 13:35:14,29.68,64.64,184.49,,
2026-03-06 13:40:14,29.47,63.49,162.92,,
2026-03-06 13:45:23,29.70,63.60,172.76,,
2026-03-06 13:50:33,29.83,64.57,186.33,,
2026-03-06 13:55:32,29.92,61.93,165.90,,
2026-03-06 14:00:36,29.90,66.20,176.76,,
2026-03-06 14:05:47,29.70,64.88,185.14,,
2026-03-06 14:10:51,29.21,65.37,179.88,,
2026-03-06 14:15:47,30.04,64.89,170.18,,
2026-03-06 14:20:51,30.00,65.25,163.00,,
2026-03-06 14:25:51,29.95,63.01,167.67,,
2026-03-06 14:30:57,29.88,63.23,171.45,,
2026-03-06 14:35:55,30.25,65.34,184.60,,
2026-03-06 14:41:03,29.90,63.95,159.69,,
2026-03-06 14:46:14,29.98,64.57,182.85,,
2026-03-06 14:51:21,29.83,61.89,166.98,,
2026-03-06 14:56:17,29.96,64.50,190.38,,
2026-03-06 15:01:24,29.81,64.95,178.96,,
2026-03-06 15:06:26,29.58,63.20,186.10,,
2026-03-06 15:11:36,30.11,64.78,186.21,,
2026-03-06 15:16:38,29.92,65.33,170.49,,
2026-03-06 15:21:37,30.08,63.29,173.86,,
2026-03-06 15:26:41,29.83,64.57,173.67,,
2026-03-06 15:31:37,29.76,65.03,159.46,,
2026-03-06 15:36:42,29.85,64.74,179.77,,
2026-03-06 15:41:44,29.57,63.74,158.61,,
2026-03-06 15:46:46,30.04,65.24,179.67,,
2026-03-06 15:51:54,30.16,63.94,169.35,,
2026-03-06 15:56:58,30.14,63.44,177.96,,
2026-03-06 16:02:02,29.62,66.27,172.47,,
2026-03-06 16:07:13,30.05,64.08,156.56,,
2026-03-06 16:12:09,30.02,64.00,154.56,,
2026-03-06 16:17:11,29.75,65.21,174.11,,
2026-03-06 16:22:11,29.84,65.71,180.64,,
2026-03-06 16:27:21,30.35,64.22,171.17,,
2026-03-06 16:32:25,29.68,66.90,151.76,,
2026-03-06 16:37:21,30.00,63.45,188.53,,
2026-03-06 16:42:23,29.35,62.47,177.74,,
2026-03-06 16:47:33,29.69,65.21,188.52,,
2026-03-06 16:52:42,29.65,65.97,164.26,,
2026-03-06 16:57:39,29.61,64.68,173.75,,
2026-03-06 17:02:39,29.87,66.73,176.45,,
2026-03-06 17:07:35,29.53,66.15,183.73,,
2026-03-06 17:12:42,29.53,67.61,181.95,,
2026-03-06 17:17:52,29.84,66.77,184.97,,
2026-03-06 17:22:56,29.71,66.11,184.56,,
2026-03-06 17:28:06,29.70,66.27,160.94,,
2026-03-06 17:33:16,29.79,67.95,182.26,,
2026-03-06 17:38:17,29.81,66.62,185.19,,
2026-03-06 17:43:21,29.48,65.19,184.83,,
2026-03-06 17:48:26,29.97,66.69,186.37,,
2026-03-06 17:53:35,29.80,63.94,176.77,,
